person,url
Megawati,https://www.cnnindonesia.com/nasional/20221107184739-32-870693/gerindra-bela-desmond-digeruduk-kader-pdip-bicara-keras-hatinya-baik
Megawati,https://www.cnnindonesia.com/nasional/20221112082433-32-872772/gema-desakan-pdip-ingin-negara-minta-maaf-ke-sukarno
Megawati,https://www.cnnindonesia.com/nasional/20221112072553-32-872767/gaduh-desmond-vs-pdip-berujung-minta-maaf
Megawati,https://www.cnnindonesia.com/nasional/20221111203223-32-872723/pdip-minta-gerindra-tindak-tegas-desmond-buntut-sentil-sukarno
Megawati,https://www.cnnindonesia.com/nasional/20221111184655-32-872681/digeruduk-kader-pdip-di-purworejo-desmond-ngaku-sudah-minta-maaf
Megawati,https://www.cnnindonesia.com/nasional/20221111121731-32-872478/gerindra-bahas-masalah-desmond-usai-digeruduk-kader-pdip-purworejo
Megawati,https://www.cnnindonesia.com/nasional/20221111075038-32-872352/desmond-minta-maaf-sentil-pdip-dan-megawati-soal-sukarno
Megawati,https://www.cnnindonesia.com/nasional/20221111073004-32-872339/desmond-digeruduk-kader-pdip-saat-makan-siang-di-purworejo
Megawati,https://www.cnnindonesia.com/nasional/20221110182731-32-872235/hasto-pdip-ingin-negara-minta-maaf-ke-bung-karno-bawa-nama-gus-dur
Megawati,https://www.cnnindonesia.com/nasional/20221110170819-25-872183/bertemu-presiden-korsel-puan-bahas-iklim-inflasi-hingga-bung-karno
Megawati,https://www.cnnindonesia.com/internasional/20221110182138-113-872228/presiden-korsel-bertemu-puan-dan-megawati-bahas-apa
Megawati,https://www.cnnindonesia.com/nasional/20221110135144-32-872036/relawan-minta-megawati-beri-restu-ganjar-jadi-capres-2024
Megawati,https://www.cnnindonesia.com/nasional/20221110140148-32-872050/puan-dan-megawati-beri-penghormatan-korban-di-lokasi-tragedi-itaewon
Megawati,https://www.cnnindonesia.com/nasional/20221107102643-32-870495/relawan-pendekar-dan-binar-deklarasi-ganjar-maju-di-pilpres-2024
Megawati,https://www.cnnindonesia.com/nasional/20221110095348-32-871919/pencabutan-tap-mprs-33-1967-soal-sukarno-tuai-polemik-permintaan-maaf
Megawati,https://www.cnnindonesia.com/nasional/20221109152256-32-871606/desmond-sentil-usul-pdip-soal-sukarno-masa-negara-harus-minta-maaf
Megawati,https://www.cnnindonesia.com/nasional/20221108183318-32-871207/pakar-sebut-ucapan-jokowi-di-acara-perindo-seperti-ledekan
Megawati,https://www.cnnindonesia.com/nasional/20221108180834-32-871189/pdip-disebut-akan-umumkan-capres-juni-2023
Megawati,https://www.cnnindonesia.com/nasional/20221108204848-32-871255/pdip-soal-jatah-prabowo-2024-menyemangati-untuk-maju
Megawati,https://www.cnnindonesia.com/nasional/20221108222754-32-871273/tap-mprs-33-1967-dicabut-pdip-harap-ri-minta-maaf-ke-keluarga-sukarno
Megawati,https://www.cnnindonesia.com/nasional/20221108194850-20-871243/ganjar-ucap-selamat-ke-puan-dapat-doktor-kehormatan-selamat-ya-mbak
Megawati,https://www.cnnindonesia.com/internasional/20221107212225-111-870742/puan-dinilai-akan-teruskan-warisan-bung-karno-rawat-hubungan-ri-korsel
Megawati,https://www.cnnindonesia.com/nasional/20221107163437-32-870638/sudah-raih-9-honoris-causa-megawati-sebut-bung-karno-punya-26-gelar
Megawati,https://www.cnnindonesia.com/nasional/20221107180229-32-870684/jokowi-respons-capres-pilihan-megawati-rakyat-yang-pilih
Megawati,https://www.cnnindonesia.com/nasional/20221107172628-32-870669/survei-indostrategi-elektabilitas-prabowo-menguat-anies-memble
Megawati,https://www.cnnindonesia.com/nasional/20221107153904-32-870598/tunggu-5-gelar-lagi-mega-ingin-puan-kalahkan-perolehan-honoris-causa
Megawati,https://www.cnnindonesia.com/nasional/20221107144402-20-870578/cerita-megawati-pernah-dituduh-bela-saddam-hussein-oleh-george-bush
Megawati,https://www.cnnindonesia.com/nasional/20221021190817-32-863828/megawati-klaim-pernah-dibilang-pintar-oleh-presiden-as-george-bush
Megawati,https://www.cnnindonesia.com/nasional/20221107085341-32-870339/politik-sepekan-isu-ganjar-rk-hingga-senior-ppp-akan-dukung-anies
Megawati,https://www.cnnindonesia.com/nasional/20221106174312-32-870205/alasan-megawati-belum-umumkan-capres-pdip-meski-sudah-kantongi-nama
Megawati,https://www.cnnindonesia.com/nasional/20221104201714-32-869756/ganjar-pranowo-dibidik-kib-pdip-monitor-balik
Megawati,https://www.cnnindonesia.com/nasional/20221104194556-32-869749/hasto-anggap-isu-jokowi-rebut-ketum-pdip-cuma-dari-provokator-politik
Megawati,https://www.cnnindonesia.com/nasional/20221104142222-32-869558/menag-yaqut-temui-megawati-bahas-situasi-negara
Megawati,https://www.cnnindonesia.com/nasional/20221103091145-32-868889/bambang-pacul-yakin-jokowi-tahu-balas-budi-mustahil-kudeta-megawati
Megawati,https://www.cnnindonesia.com/internasional/20221102190438-106-868735/daftar-tokoh-ri-yang-masuk-muslim-berpengaruh-dunia-2023
Megawati,https://www.cnnindonesia.com/nasional/20221102090007-32-868378/johan-budi-saya-cuma-remah-remah-rengginang-di-pdip-yang-dukung-puan
Megawati,https://www.cnnindonesia.com/nasional/20221102042552-32-868297/ganjar-soal-jokowi-ganti-mega-jangan-benturkan-presiden-dengan-pdip
Megawati,https://www.cnnindonesia.com/nasional/20221101230046-32-868282/pdip-minta-ganjar-waspadai-relawan-yang-doakan-jokowi-gantikan-mega
Megawati,https://www.cnnindonesia.com/nasional/20221101193839-32-868227/puan-soal-dewan-kolonel-kita-ikuti-perintah-ketua-umum-pdip
Megawati,https://www.cnnindonesia.com/nasional/20221101182537-32-868195/bappilu-pdip-megawati-tidak-akan-beda-dengan-jokowi-soal-capres
Megawati,https://www.cnnindonesia.com/nasional/20221101175750-32-868183/pdip-sebut-johan-budi-dicopot-dari-burt-dpr-tak-terkait-dewan-kolonel
Megawati,https://www.cnnindonesia.com/nasional/20221031163040-32-867638/projo-soal-doa-jokowi-jadi-ketum-pdip-adu-domba-dan-menyesatkan
Megawati,https://www.cnnindonesia.com/nasional/20221031130702-32-867486/relawan-kami-ganjar-minta-maaf-soal-doakan-jokowi-jadi-ketum-pdip-2024
Megawati,https://www.cnnindonesia.com/nasional/20221031095812-32-867367/alasan-mbah-rono-gabung-pdip-mau-nyaleg-di-yogyakarta
Megawati,https://www.cnnindonesia.com/nasional/20221030201635-32-867220/soal-capres-pdip-hasto-ungkap-akan-ada-pertemuan-intens-mega-jokowi
Anies,https://www.cnnindonesia.com/nasional/20221114063554-32-873242/anies-bakal-sambangi-yogyakarta-16-november
Anies,https://www.cnnindonesia.com/nasional/20221113092138-32-873001/nakhoda-nasdem-out-jika-suara-stagnan-di-2024
Anies,https://www.cnnindonesia.com/nasional/20221112172851-32-872915/pkb-anggap-jokowi-belum-full-beri-dukungan-ke-capres-tertentu
Anies,https://www.cnnindonesia.com/nasional/20221111194253-32-872705/surya-paloh-soal-nasib-nasdem-di-koalisi-pemerintah-bola-di-jokowi
Anies,https://www.cnnindonesia.com/nasional/20221112143545-32-872860/surya-paloh-jika-suara-nasdem-anjlok-di-2024-nakhodanya-out
Anies,https://www.cnnindonesia.com/nasional/20221111233926-32-872744/surya-paloh-tunggu-jokowi-bilang-pilpres-2024-jatah-anies-baswedan
Anies,https://www.cnnindonesia.com/nasional/20221111234540-32-872745/bicara-bandar-di-pilpres-surya-paloh-singgung-sambo-sudah-ditangkap
Anies,https://www.cnnindonesia.com/nasional/20221111203839-32-872729/demokrat-klaim-nasdem-dan-pks-tetap-solid-bentuk-koalisi-perubahan
Anies,https://www.cnnindonesia.com/nasional/20221111190921-32-872692/surya-paloh-saya-masih-anggap-jokowi-adalah-presiden-nasdem
Anies,https://www.cnnindonesia.com/nasional/20221111180650-20-872663/bantu-anies-di-pilpres-sudirman-said-mundur-dari-komut-transjakarta
Anies,https://www.cnnindonesia.com/otomotif/20221111132443-603-872515/300-bus-listrik-baru-transjakarta-bakal-mondar-mandir-di-jakarta-2023
Anies,https://www.cnnindonesia.com/nasional/20221111164937-32-872616/surya-paloh-akui-jokowi-belum-ucapkan-selamat-ultah-untuk-nasdem
Anies,https://www.cnnindonesia.com/hiburan/20221111160935-234-872596/iwan-fals-komentari-jadwal-daftar-capres-2024-kirain-tahun-ini
Anies,https://www.cnnindonesia.com/nasional/20221111155223-32-872585/surya-paloh-calonkan-anies-bukan-berarti-hubungan-ke-jokowi-retak
Anies,https://www.cnnindonesia.com/nasional/20221111142552-32-872542/anies-salut-surya-paloh-tempuh-jalan-terjal-siap-mendaki-bersama
Anies,https://www.cnnindonesia.com/nasional/20221111071638-32-872341/pamor-anies-dan-jalan-redup-elektabilitas-nasdem
Anies,https://www.cnnindonesia.com/nasional/20221110191120-32-872247/pks-soal-batal-deklarasi-koalisi-anies-enggak-boleh-ada-pemodal-besar
Anies,https://www.cnnindonesia.com/nasional/20221110162915-32-872155/gibran-respons-usul-rocky-gerung-jadi-cawapres-tandem-anies-2024
Anies,https://www.cnnindonesia.com/nasional/20221110154349-32-872116/pan-akui-dekati-pks-demokrat-bantah-jegal-anies-maju-pilpres
Anies,https://www.cnnindonesia.com/nasional/20221110142433-32-872066/relawan-jokowi-temui-prabowo-gerindra-sebut-tak-bahas-dukungan-capres
Anies,https://www.cnnindonesia.com/nasional/20221110131524-32-872003/jokowi-tak-hadir-hut-nasdem-besok-beri-ucapan-lewat-video
Anies,https://www.cnnindonesia.com/nasional/20221110134118-32-872016/nasdem-sebut-deklarasi-koalisi-batal-bukan-karena-cawapres-belum-deal
Anies,https://www.cnnindonesia.com/nasional/20221110125456-32-871996/anies-yakinkan-kader-nasdem-soal-koalisi-dengan-demokrat-pks
Anies,https://www.cnnindonesia.com/nasional/20221110095428-32-871898/relawan-jokowi-makan-siang-dengan-prabowo-hari-ini
Anies,https://www.cnnindonesia.com/nasional/20221110091836-32-871883/nasdem-sentil-balik-sindiran-ahok-lebih-bahaya-orang-yang-asal-omong
Anies,https://www.cnnindonesia.com/nasional/20221110073751-32-871840/koalisi-usung-anies-batal-deklarasi-10-november-demokrat-buka-suara
Anies,https://www.cnnindonesia.com/nasional/20221110033952-32-871789/hasil-musra-relawan-jokowi-di-kepri-ganjar-unggul-telak
Anies,https://www.cnnindonesia.com/nasional/20221109193730-32-871734/hasil-musra-relawan-jokowi-di-sumbar-prabowo-capres-terfavorit
Anies,https://www.cnnindonesia.com/nasional/20221110012059-32-871786/agenda-nasdem-bareng-anies-di-jabar-janjikan-hadiah-umrah-untuk-warga
Anies,https://www.cnnindonesia.com/nasional/20221109165413-32-871665/koalisi-nasdem-demokrat-pks-usung-anies-tidak-deklarasi-10-november
Anies,https://www.cnnindonesia.com/nasional/20221109163007-32-871650/gerindra-panggil-wakil-wali-kota-medan-usai-foto-bareng-anies
Anies,https://www.cnnindonesia.com/ekonomi/20221109143553-92-871572/mengenal-tunjangan-profesi-guru-yang-dibahas-anies-dan-stafsus-menkeu
Anies,https://www.cnnindonesia.com/ekonomi/20221109131725-532-871521/melihat-kelebihan-tunjangan-guru-rp23-t-versi-anies-dan-staf-menkeu
Anies,https://www.cnnindonesia.com/nasional/20221109101118-20-871409/normalisasi-ciliwung-warga-bantaran-kali-akan-dipindahkan-ke-rusun
Anies,https://www.cnnindonesia.com/nasional/20221109094033-20-871391/anies-ajukan-cabut-pergub-ahok-heru-budi-perintahkan-kaji-lagi
Anies,https://www.cnnindonesia.com/ekonomi/20221109074403-532-871335/kemenkeu-minta-kelebihan-tunjangan-guru-era-anies-tidak-diperdebatkan
Anies,https://www.cnnindonesia.com/ekonomi/20221108205447-532-871259/staf-menkeu-respons-soal-anies-selamatkan-tunjangan-guru-rp23-t
Anies,https://www.cnnindonesia.com/nasional/20221108192243-20-871230/dki-anggarkan-rp700-m-untuk-pembebasan-lahan-normalisasi-ciliwung
Anies,https://www.cnnindonesia.com/nasional/20221109025156-32-871290/perbandingan-elektabilitas-ahy-aher-kandidat-pendamping-anies
Anies,https://www.cnnindonesia.com/ekonomi/20221108190157-532-871215/kemenkeu-blak-blakan-soal-kelebihan-tunjangan-guru-rp23-t-era-anies
Anies,https://www.cnnindonesia.com/nasional/20221108154450-32-871096/nasdem-yakin-jokowi-tak-hanya-dukung-prabowo-anies-juga-akan-didukung
Anies,https://www.cnnindonesia.com/nasional/20221107172628-32-870669/survei-indostrategi-elektabilitas-prabowo-menguat-anies-memble
Anies,https://www.cnnindonesia.com/hiburan/20221107163409-234-870641/iwan-fals-komentari-hasil-survei-cawapres-rk-dan-sandi-akur-nih
Anies,https://www.cnnindonesia.com/nasional/20221107134055-32-870538/ganjar-temui-jokowi-di-istana-siap-siap-2023-tak-terlalu-bagus
Anies,https://www.cnnindonesia.com/nasional/20221107085341-32-870339/politik-sepekan-isu-ganjar-rk-hingga-senior-ppp-akan-dukung-anies
Luhut,https://www.cnnindonesia.com/internasional/20221114080353-106-873282/biden-bertemu-xi-jinping-di-ktt-g20-bali-hari-ini-bakal-blak-blakan
Luhut,https://www.cnnindonesia.com/internasional/20221114061529-106-873238/biden-pakai-mobil-the-beast-di-bali-hingga-3-kepala-negara-absen-g20
Luhut,https://www.cnnindonesia.com/internasional/20221113184138-106-873172/bahlil-soal-absennya-putin-di-g20-cuma-jokowi-yang-bisa-telepon-putin
Luhut,https://www.cnnindonesia.com/internasional/20221113190723-106-873174/gantikan-vladimir-putin-menlu-rusia-tiba-di-bali-hadiri-ktt-g20
Luhut,https://www.cnnindonesia.com/ekonomi/20221113114511-90-873042/potensi-investasi-tinggi-menko-luhut-dukung-pln-kembangkan-ebt
Luhut,https://www.cnnindonesia.com/ekonomi/20221113111209-532-873027/elon-musk-dipastikan-batal-ke-bali-hadiri-g20
Luhut,https://www.cnnindonesia.com/internasional/20221113094902-106-873016/alasan-tiga-kepala-negara-absen-di-ktt-g20-bali
Luhut,https://www.cnnindonesia.com/ekonomi/20221112164128-92-872904/luhut-optimistis-kontribusi-ekonomi-g20-pulihkan-luka-bali
Luhut,https://www.cnnindonesia.com/ekonomi/20221112172814-92-872919/luhut-minta-warga-bali-wfh-dan-sekolah-online-selama-ktt-g20
Luhut,https://www.cnnindonesia.com/internasional/20221112161658-106-872896/luhut-pastikan-tiga-kepala-negara-tak-hadir-di-ktt-g20
Luhut,https://www.cnnindonesia.com/ekonomi/20221112161209-90-872887/jelang-ktt-g20-menko-luhut-resmikan-plts-terapung-pln-di-nusa-dua
Luhut,https://www.cnnindonesia.com/internasional/20221111204836-106-872730/jokowi-akan-bertemu-biden-di-ktt-g20-bahas-isu-yang-digodok-15-tahun
Luhut,https://www.cnnindonesia.com/ekonomi/20221111172204-297-872639/dongkrak-wisman-bri-berikan-fasilitas-pembayaran-online-e-visa
Luhut,https://www.cnnindonesia.com/internasional/20221110193450-106-872259/putin-tak-hadir-ktt-g20-bali-ri-tetap-upaya-damaikan-rusia-ukraina
Luhut,https://www.cnnindonesia.com/ekonomi/20221110161743-92-872135/luhut-klaim-ri-siap-pasok-baterai-buat-3-juta-kendaraan-listrik
Luhut,https://www.cnnindonesia.com/teknologi/20221110162830-192-872150/target-berikutnya-bjorka-pedulilindungi
Luhut,https://www.cnnindonesia.com/ekonomi/20221110144500-92-872082/melihat-cara-kampungan-jokowi-yang-kata-luhut-efektif-redam-inflasi
Luhut,https://www.cnnindonesia.com/ekonomi/20221110130430-92-871995/luhut-indonesia-is-not-ecek-ecek-country
Luhut,https://www.cnnindonesia.com/internasional/20221110130336-106-871994/luhut-soal-putin-zelensky-absen-di-ktt-g20-mungkin-sibuk
Luhut,https://www.cnnindonesia.com/ekonomi/20221110133527-92-872014/luhut-ungkap-strategi-kampungan-jokowi-selamatkan-ri-dari-inflasi
Luhut,https://www.cnnindonesia.com/ekonomi/20221110105620-92-871933/luhut-singgung-manfaat-besar-dana-desa-banyak-ekonom-tak-paham
Luhut,https://www.cnnindonesia.com/ekonomi/20221110102135-92-871914/luhut-siapa-bilang-indonesia-bisa-dikontrol-china
Luhut,https://www.cnnindonesia.com/ekonomi/20221110103956-92-871925/luhut-putin-tak-hadiri-ktt-g20-bali-hanya-mengirim-menlu
Luhut,https://www.cnnindonesia.com/ekonomi/20221110093651-92-871889/jokowi-dan-xi-jinping-batal-jajal-kereta-cepat-jakarta-bandung
Luhut,https://www.cnnindonesia.com/ekonomi/20221109151037-532-871598/luhut-ingin-indonesia-jadi-negara-maju-pada-2030
Luhut,https://www.cnnindonesia.com/ekonomi/20221108165638-92-871142/staf-erick-soal-kereta-cepat-tekor-mau-langsung-untung-jual-gorengan
Luhut,https://www.cnnindonesia.com/ekonomi/20221108142655-92-871038/luhut-sebut-indonesia-siap-kembangkan-ekosistem-karbon-biru
Luhut,https://www.cnnindonesia.com/nasional/20221108151401-32-871075/sinyal-jokowi-soal-capres-dukung-ganjar-hingga-prabowo
Luhut,https://www.cnnindonesia.com/nasional/20221107213131-12-870748/luhut-ungkap-sistem-pengenalan-wajah-di-g20-seperti-di-film-film
Luhut,https://www.cnnindonesia.com/internasional/20221107232609-106-870754/jelang-ktt-g20-luhut-belum-bisa-pastikan-kehadiran-putin
Luhut,https://www.cnnindonesia.com/ekonomi/20221107090458-85-870340/ahok-bongkar-5-orang-yang-berperan-tentukan-kenaikan-harga-bbm
Luhut,https://www.cnnindonesia.com/ekonomi/20221105174521-532-869981/luhut-bicara-perfect-storm-hantam-negara-maju-dan-berkembang
Luhut,https://www.cnnindonesia.com/olahraga/20221105064316-142-869828/5-kandidat-ketua-umum-pssi-yang-jadi-unggulan-netizen
